Question,Answer1,Answer2,Answer3,Answer4,Answer
"เครื่องหมายนี้ หมายความอย่างไร
",ให้ทางเเก่รถหรือคนเดินเท้าบนทางขวางหน้าผ่านไปก่อน,ห้ามกลับรถไปทางซ้าย,ห้ามกลับรถไปทางขวา,ให้กลับรถไปทางขวา,1
"เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร
",ห้ามขับรถยนต์ผ่าน,ต้องหยุดรถตรงตำเเหน่งที่ติดตั้งป้ายเเละให้รถที่กำลังสวนทางมาผ่านไปก่อน,ให้ลดความเร็วลงเเล้วขับรถเบี่ยงไปทางด้านซ้าย,ให้ลดความเร็วลงเเล้วขับรถเบี่ยงไปทางด้านขวา,2
"เครื่องหมายนี้ หมายความอย่างไร
",ไม่ขับรถตรงไป,ต้องขับรถตรงปตามทิศทางที่ป้ายกำหนดเป็นทางเดินรถทางเดียวเท่านั้น,ไม่ขับรถเข้าไป,ให้ขับรถไปทางซ้าย,2
"เครื่องหมายนี้ หมายความอย่างไร
",ทางข้างหน้าเป็นทางบังคับให้เดินรถทางเดียวไปทางซ้ายเท่านั้น,ไปได้เฉพาะทางขวาเท่านั้น,ห้ามขับรถไปทางขวา,ให้ขับรถไปทางขวาเท่านั้น,1
"เครื่องหมายนี้ หมายความอย่างไร
",ให้เลี้ยวซ้าย,ให้เลี้ยวขวา,ให้ชิดขวา,ผู้ขับขี่ต้องขับรถผ่านไปทางด้านซ้ายของป้าย,4
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ห้ามไปทางซ้ายหรือทางขวา,ให้ชิดซ้ายหรือชิดขวา,ให้ชิดขวาอย่างเดียว,ให้ชิดซ้ายอย่างเดียว,2
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ห้ามเลี้ยวซ้าย,ห้ามเลี้ยวขวา,ให้เลี้ยวขวา,ให้เลี้ยวซ้าย,4
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ให้เลี้ยวซ้ายหรือเลี้ยวขวา,ห้ามเลี้ยวซ้ายหรือทางขวา,ห้ามตรงไปหรือเลี้ยวซ้าย,ห้ามตรงไปหรือเลี้ยวขวา,1
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ให้ตรงไปเเต่ห้ามเลี้ยวซ้าย,ห้ามตรงไปหรือเลี้ยวซ้าย,ให้ตรงไปหรือเลี้ยวซ้าย,ห้ามตรงไปหรือเลี้ยวขวา,3
"เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร
",ให้รถยนต์ขับรถทางเดียวด้านซ้าย,ให้รถทุกชนิดเดินวนด้านขวาของวงเวียน,ให้ขับรถเเทรกหรือตัดหน้ารถคันอื่นในวงเวียนได้,ผู้ขับขี่รถทุกชนิดต้องขับรถวนทางซ้ายของวงเวียน เเละหยุดรอให้รถที่เเล่นอยู่ในทางรอบบริเวณวงเวียน ผ่านไปก่อน,4
"เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร
",รถมีคนนั่งไม่น้อยกว่า 3 คน สามารถใช้ช่องเดินรถนี้ได้,รถมีคนนั่ง 1 คนเข้าไปในช่องเดินรถนี้ได้,ห้ามรถมีคนเกิน 3 คน เข้าไปในช่องเดินรถนี้,รถมีคนนั่ง 2 คน เข้าไปในช่องเดินรถนี้ได้,1
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ช่องเดินรถจักรยานยนต์,ช่องเดินรถมวลชน,ช่องเดินรถจักรยาน,เฉพาะคนเดิน,1
"เครื่องหมายนี้ คือเครื่องหมายอะไร
",ให้เลี้ยวซ้าย,ห้ามเลี้ยวขวา,สุดเขตบังคับ,ให้ใช้ความเร็ว,3
