Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
น้ำมันแก๊สโซฮอล์ที่มีจำหน่ายในประเทศไทยมีค่าออกเทนสูงสุดเท่าใด,ค่าออกเทน 98,ค่าออกเทน 95,ค่าออกเทน 91,ค่าออกเทน 87,-,2
ในการตรวจเช็กน้ำมันเชื้อเพลิงในห้องเครื่องยนต์ เราควรตรวจสิ่งใดเป็นหลัก,การเผาไหม้ของเครื่องยนต์,การปลอมปนของน้ำมัน,สภาพของท่อน้ำมันและรอยรั่วซึม,ปริมาณน้ำมันเชื้อเพลิง,-,3
หากท่านเติมน้ำมันผิดประเภทควรปฏิบัติอย่างไร,เดิมชนิดที่ถูกเข้าไปเพื่อทำให้เจือจาง,ขับไปให้หมดถังแล้วเติมชนิดที่ถูกเข้าไป,ทำการเปลี่ยนถ่ายออกทันที,ขับไปถ้ามีผลต่อเครื่องยนต์ค่อยถ่ายออก,-,3
หากท่านตรวจพบว่าท่อน้ำมันเริ่มมีรอยน้ำมันซึมออก มาท่านควรทำอย่างไร,สลับท่อไปไว้ในท่อแรงดันต่ำ,ใช้เทปรัดให้แน่นขึ้น,ใช้ไปได้จนกว่าจะมีรอยหยดของน้ำมัน,ทำการเปลี่ยนท่อใหม่,-,4
หากรถของท่านเกิดท่อน้ำมันรั่วท่านควรทำอย่างไร,ดับเครื่องยนด์และไม่ควรขับรถต่อไปเนื่องจาก อาจเกิดไฟใหม้ได้,ขับไปหาศูนย์บริการเพื่อทำการซ่อม,ใช้เทบรัดและขับไปหาช่าง,นำขวดมารองน้ำมันที่รั่วและขับต่อไป,-,1
ข้อใดกล่าวถูกต้อง,ไม่ควรเติมน้ำมันหล่อลื่นลงไปผสมในน้ำมันเชื้อเพลิง,การเติมน้ำมันควรเติมในช่วงกลางวัน,เราไม่สามารถเติมน้ำมันค่าออกเทน 95 แทนออกเทน 91 ได้,น้ำมันที่แพงคือน้ำมันที่ดีที่สุด,-,1
เครื่องยนต์เบนซินกับเครื่องยนต์ดีเซลมีข้อแตกต่างอย่างไร,มีระบบการสตาร์ทต่างกัน,มีระบบการใช้น้ำระบายความร้อนต่างกัน,เครื่องยนต์เบนซินใช้หัวเทียนในการจุดระเบิด,มีระบบไฟต่างกัน,-,3
ในกรณีที่รถให้ใช้น้ำมันออกเทน 95 เท่านั้นถ้าหากเราเติม น้ำมันค่าออกเทน 91 จะมีผลอย่างไร,ใช้งานได้ตามปกติ,เครื่องยนต์เกิดการสะดุด (น๊อก),เครื่องยนต์พังทันทีหากใช้งาน,ไม่มีผลต่อการใช้งาน,-,2
ในกรณีที่เดิมน้ำมันที่มีก่ออกเทนสูงกว่าในคู่มือการใช้จะมีผลอย่างไร,เครื่องยนต์ร้อนขึ้นกว่าเดิม,ไม่มีผลต่อการใช้งาน,เครื่องยนต์สึกหรอกว่าปกติ,รอบเครื่องยนต์สูงขึ้นกว่าปกติ,-,2
น้ำมันเชื้อเพลิงในข้อใดมีการระเหยเร็วมากที่สุด,น้ำมัน E85,น้ำมัน E20,น้ำมันแก๊สโซฮอล์ 95,น้ำมัน 95,-,1
