Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
ท่านควรทำอย่างไรเมื่อผู้ขับรถกันอื่นให้สัญญาณไฟขอเข้าใช้ช่องจราจรร่วมกับท่าน,ให้สัญญาณตอบรับโดยชะลอความเร็ว เว้นระยะให้รถกันนั้นสามารถเปลี่ยนช่องจราจรเบี่ยงเข้ามาได้อย่างปลอดภัย,บีบแตรเตือน รีบขับชิดรถกันหน้า กันไม่ให้เบี่ยงแทรกเข้ามา,ขับชิดรถกันหน้า พยายามเบียดไม่ให้รถกันหน้าแทรกเข้ามาด้านหน้ารถได้,เร่งความเร็รรถป็นระยะ ไม่เปิดช่องว่างให้แทรกเข้ามาในช่องจราจรของเราได้,-,1
เมื่อขับรถในช่องจราจรขวาสุด และมีรถด้านหลังขับขึ้นมาด้วยความเร็วสูง ท่านควรทำอย่างไร,ให้สัญญาณไฟเสี้ยวช้าย และเปลี่ยนไปยังช่องจราจรด้านซ้าย เพื่อให้รถที่มีความเร็วสูงกว่ารถของท่านแซงขึ้นไปอย่างปลอดภัย,เร่งความเร็วหนีรถด้านหลัง พยายามขับทิ้งระยะให้ห่างจากรถคันหลัง,ขับด้วยความเร็วเดิม เพื่อให้รถด้านหลังเปลี่ยนช่องจราจรไปทางซ้าย,ให้สัญญาณไฟเลี้ยวซ้าย หักหลบไปยังช่องจราจรซ้าย เร่งความเร็วแข่งกับรถในช่องจราจรขวา,-,1
ท่านควรทำอย่างไรเมื่อผู้ขับรถกันอื่นเปิดทางให้ท่านไปก่อนหรือเข้าร่วมใช้ช่องจราจรด้วย,เร่งรถออกไปโดยตัดข้ามไปยังช่องจราจรถัดไปด้วย,ก้มหัวหรือยกมือขอบคุณ พร้อมกับเคลื่อนรถออกไปหรือเข้าร่วมใช้ช่องจราจรในลักษณะเร่งร้อน,ก้มหัวขอบคุณ พร้อมกับเคลื่อนรถออกไปหรือเข้าร่วมใช้ช่องจราจรที่ขอเข้าร่วมด้วยความระมัดระวัง,ขับรถออกไปหรือเข้าร่วมช่องจราจรแบบช้ำๆ และพยายามเบียดข้ามไปยังช่องจราจรถัดไป,-,3
การกระทำใดของผู้ขับรถซึ่งเป็นพฤติกรรมที่ไร้มารยาทและอาจก่อให้เกิดอุบัติเหตุได้,บีบแตรเตือนรถที่กำลังถอยหลังมาชนรถของท่านซึ่งจอดติดไฟแดงอยู่,เปิดไฟตัดหมอกเมื่อฝนตกหนัก,ขับรถตามรถด้านหน้าโดยเว้นระยะห่างที่เหมาะสม,ขับรถจี้ท้ายรถด้านหน้าที่ขับช้า พร้อมกับบีบแตรไส่,-,4
การใช้ไฟสูงที่ถูกต้องและไม่เสียมารยาท,เปิดไฟสูงเพื่อตรวจสอบสภาพถนนและริมถนน ฉพาะเส้นทางที่มืดมากและไม่มีรถวิ่งอยู่ด้านหน้าหรือสวนทางมา และปิดไฟสูงทันทีที่มีรถวิ่งอยู่ด้านหน้าหรือสวนทางมา,เปิดไฟสูงแทนไฟส่องสว่างเมื่อวิ่งบนถนนต่างจังหวัดที่ไม่มีไฟฟ้าส่องสว่างสองข้างทางและสามารถมองเห็นไฟท้ายรถคันหน้า,เปิดไฟสูงทุกครั้งเมื่อวิ่งเข้าทางโค้งที่มืดมากและมีรถวิ่งอยู่ด้านหน้าหรือสวนทางมา,เปิดไฟสูงทุกครั้งเมื่อวิ่งบนถนนซึ่งเป็นทางขึ้นเนินหรือลงเนินที่ไม่มีไฟฟ้าส่องสว่างข้างทางและสามารถมองเห็นไฟหน้ารถที่วิ่งสวนทางมา,-,1
การกระทำใดของผู้ขับรถซึ่งเป็นการกระทำที่แสดงถึงความมีมารยาทและน้ำใจให้แก่ผู้ใช้ถนนร่วมกัน,ขับรถแซงคิวแทรกเข้าตรงเชิงสะ พานหรือก่อนเข้าซอย,ขับรถบนไหล่ทางเพื่อไปแทรกเข้าด้านหน้าในช่องจราจรปกติ,กลับรถบนถนนที่มีช่องจราจรสวนทางกันในลักษณะกีดขวางการจราจร,ไม่หยุดรถบนเส้นทแยงสีเหลืองหรือบริเวณปากซอยและเปิดทางให้รถในเส้นทางอื่นสามารถขับผ่านไปได้ในขณะที่รถท่านติดการจราจร,-,4
ข้อใดเป็นพฤติกรรมที่ถูกต้องและแสดงมารยาทที่ดีของผู้ขับรถยนต์,กลับรถที่จุดกลับรถทุกครั้งแม้จะอยู่ไกล,จอดรถขวางรถกันอื่น โดยเข้าเกียร์และเบรกมือ,ไม่ใช่ผู้พิการแต่จอดรถในพื้นที่จอครถของผู้พิการ,ต้องการไปทางตรงแต่ขับรถในช่องจราจรเลี้ยวซ้ายหรือเลี้ยวขวาหรือกลับรถ,-,1
เมื่อขับรถเข้าเขตชุมชนที่มีการจราจรติดขัด ผู้ขับรถควรทำอย่างไร,บีบแตรเพื่อเร่งรถคันหน้าและเตือนคนเดินถนนให้หลีกทางไป,ขับช้าๆ โดยระมัดระวังคนเดิน ใช้แตรเมื่อจำเป็นเพื่อเตือนคนเดินถนนหรือรถคันอื่นเท่านั้น,ขับเบียดรถที่จอดหรือคนเดินถนนโดยล้ำไปยังช่องจราจรที่สวนมา,ขับย้อนศรเพื่อหนีการจราจรติดขัดไปยังเส้นทางอื่น,-,2
ท่านคิดว่าข้อใดเป็นการขับขี่ที่ไร้ซึ่งมารยาทอย่างมาก,ใช้ความเร็วรถปกติ เมื่อมีรถกันอื่นกระพริบไฟขอทาง,ขับรถชิดซ้าย หรือให้ทางแก่รถฉุกเฉิน,ขับรถจี้ท้าย และบีบแตรไล่บนทางด่วน,ชะลอความเร็วให้รถคันอื่นแซง,-,3
ท่านคิดว่าข้อใดเป็นการขับขี่รถที่ไร้ซึ่งจิตสำนึก,ขับรถในขณะที่อ่อนเพลีย ง่วงนอน หรือดื่มสุรา,ชะลอความเร็วและระมัดระวังเมื่อขับรถผ่านสถานศึกษาที่มีนักเรียนพลุกพถ่าน,เมื่อรู้สึกว่าอ่อนเพลีย ง่วงนอน ให้หยุดรถพักผ่อนทันที,ไม่มีข้อใดถูกเลย,-,1
ท่านคิดว่าผู้ขับขี่ ควรปฏิบัติตนอย่างไรในการขับขี่รถให้เกิดความปลอดภัย,พูดคุยหยอกล้อกับแฟนสาวในขณะขับรถ,ใช้โทรศัพท์เคลื่อนที่ในขณะขับรถ,ดื่มสุรา เที่ยวดึก นอนดึกเพื่อตื่นแต่เข้ามาขับรถ,ไม่ประมาท มีวินัย และเคารพในกฎจราจร,-,4
การขับรถบนทางด่วนที่ถูกต้อง เหมาะสม ควรปฏิบัติอย่างไร,ขับรถช้าในช่องทางด้านขวา,ขับรถอย่างรวดเร็วในช่องทางด้านขวา,ไม่ขับรถเร็วเกินอัตราที่กฎหมายกำหนด,ไม่ให้ขับรถแซงทางด้านซ้าย,-,3
ข้อใดเป็นการปฏิบัติที่ถูกต้องที่สุด,ขับรถโดยมีใบขับขี่ที่ถูกต้อง และปฏิบัติตามกฎจราจร,ศึกษาเรียนรู้ในกฎจราจร,ศึกษาเรียนรู้ในกฎจราจรทั้งในประเทศและต่างประเทศ,ตั้งใจฟังการถ่ายทอดอบรมเพื่อสอบใบขับขี่,-,1
ข้อใดเป็นการปฏิบัติที่ถูกต้อง,ตรวจเช็กบ้าง ไม่ตรวจเช็กบ้าง,ไม่เคยตรวจสอบ ดูแล บำรุงรักษารถ,ตรวจสอบรถปีละ 1 ครั้ง,ตรวจเช็กรถตามคู่มือประจำรถ,-,4
สำนวนใดที่เตือนใจผู้ขับขี่เพื่อให้เกิดความปลอดภัย,ความประมาทเป็นบ่อเกิดแห่งความตาย,กล้าได้กล้าเสีย,ฆ่าได้แต่หยามไม่ได้,กระต่ายตื่นตูม,-,1
มารยาทในการขับขี่ที่ผู้ขับรถควรกระทำคือข้อใด,ถ่มน้ำลายหรือเสมหะลงบนถนน,สูบบุหรี่และเขี่ยทิ้งกันบุหรี่ลงบนถนน,หยุดรถให้คนข้ามถนนบริเวณทางม้าลาย,ตะโกนด่าผู้ขับขี่คันอื่นที่ทำให้ไม่พอใจ,-,3
การกระทำของผู้ขับขี่ข้อใด ที่อาจก่อให้เกิดอุบัติเหตุมากที่สุด,พูดคุยกับคนที่อยู่ข้างๆ,เปิดวิทยุฟังเพลง,ร้องเพลง,โทรศัพท์มือถือในขณะขับรถ,-,4
ผู้ขับขี่ควรใช้แตรเมื่อใด,ไล่คนเดินเท้าที่กำลังข้ามทางม้าลาย,เร่งรถคันหน้าให้ขับเร็วขึ้น,ป้องกันอันตรายหรืออุบัติที่อาจเกิดขึ้นจากรถ,ทักทายผู้ขับขี่คันอื่นที่รู้จักกัน,-,3
มารยาทที่ดีในการขับขี่ทำให้การใช้รถใช้ถนนเป็นไปอย่างปลอดภัย ข้อใดเป็นมารยาทที่ควรปฏิบัติ,เมื่อขับรถในทางเลี้ยวไม่ว่าจะอยู่เลนไหน โดยมารยาทลี้ยวแล้วต้องรักษาแนวให้อยู่ในเลนนั้นก่อนเมื่อเห็นว่าปลอดภัยแล้วจึงจะเปลี่ยนเลนได้,ขณะขับรถในช่องทางขวาแต่ขับตามความเร็วที่กฎหมายกำหนด หากมีรถมาจ่อท้ายแสดงว่ารถคันนั้นวิ่งเร็วไปไม่ต้องหลบให้ทาง,เมื่อรถ 2 คัน วิ่งมาถึงทางแยกหรือวงเวียนพร้อมกันรถคันไหนเร็วกว่าไปก่อนเสมอ,ไฟตัดหมอกเป็นไฟตกแต่งรถให้สวยงามสามารถเปิดได้ในขณะที่ไม่มีหมอกลง,-,1
หลังจากประสบอุบัติเหตุและรอดชีวิตมาได้ข้อใดเป็นแนวคิดที่สะท้อนให้เห็นว่าผู้ขับรถมีจิตสำนึกความปลอดภัยในการใช้รถใช้ถนน,นายดี กล่าวว่า เมื่อวานเพิ่งไปสะเดาะเคราะห์มาไม่งั้นคงไม่รอดแน่,นายเอ กล่าวว่า เพราะพระเครื่องที่แขวนคออยู่คุ้มครองปกป้องรักษา,นางบี กล่าวว่า ปีนี้หมอดูทายทักไว้ว่าควงจะดีทำอะไรก็ไม่มีปัญหา,น.ส.ชี กล่าวว่า ได้ศึกษาหาความรู้หลักการขับขี่ปลอดภัยอยู่เสมอ,-,4
