Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
เครื่องหมายนี้ หมายความอย่างไร,ห้ามรถบรรทุกทุกชนิดผ่าน,ห้ามรถจักรยานยนต์ผ่าน,ห้ามรถยนต์ทุกชนิดผ่าน,ให้รถยนต์ทุกชนิดผ่าน,Data411,2
เครื่องหมายนี้ คือเครื่องหมายอะไร,ห้ามจอดรถ,ห้ามหยุดรถ,ห้ามใช้เสียง,ให้ใช้เสียงได้,Data412,3
เครื่องหมายนี้ คือเครื่องหมายอะไร,ให้หยุดรถ,ห้ามจอดรถทุกชนิด,ให้เเซงได้,ให้ทาง,Data413,2
เครื่องหมายนี้ คือเครื่องหมายอะไร,ให้ล้อเลื่อนลากเข็นจอด,ให้รถจักรยานจอด,ให้รถจักรยานยนต์จอด,ห้ามหยุดหรือจอดรถทุกชนิด,Data414,4
เครื่องหมายนี้ หมายความอย่างไร,ห้ามคนผ่าน,ทางข้าม,บริเวณคนข้ามถนน,เฉพาะคนเดิน,Data415,4
เครื่องหมายนี้ หมายความอย่างไร,ให้ใช้น้ำหนักไม่เกิน 50 กก.,ห้ามใช้เสียงเกิน 50 เดซิเบล A,ห้ามใช้ความเร็วเกินกว่าที่กำหนดเป็น ''กิโลเมตรต่อชั่วโมง'' ตามจำนวนตัวเลขที่รับในป้ายนั้นๆ,ให้ใช้ความเร็วเกิน 50 กม./ชม.,Data416,3
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ห้ามหยุดรถทุกชนิด,ให้ขับรถไปได้เฉพาะรถเก๋งเพราะเป็นทางเอก,ให้ลดความเร็วลงเเละขับต่อไปช้าช้า,ต้องหยุดให้รถเเละคนเดินเท้าในทางขวางหน้าผ่าน ไปก่อนเมื่อเห็นว่าปลอดภัยเเล้วจึงขับรถต่อไปได้,Data417,4
เครื่องหมายนี้ หมายความอย่างไร,ให้ทางเเก่รถหรือคนเดินเท้าบนทางขวาง หน้าผ่านไปก่อน,ห้ามกลับรถไปทางซ้าย,ห้ามกลับรถไปทางขวา,ให้กลับรถไปทางขวา,Data418,1
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ห้ามขับรถยนต์ผ่าน,ต้องหยุดรถตรงตำเเหน่งที่ติดตั้งป้ายเเละให้รถที่ กำลังสวนทางมาผ่านไปก่อน,ให้ลดความเร็วลงเเล้วขับรถเบี่ยงไปทางด้านซ้าย,ให้ลดความเร็วลงเเล้วขับรถเบี่ยงไปทางด้านขวา,Data419,2
เครื่องหมายนี้ หมายความอย่างไร,ไม่ขับรถตรงไป,ต้องขับรถตรงปตามทิศทางที่ป้ายกำหนดเป็นทางเดิน รถทางเดียวเท่านั้น,ไม่ขับรถเข้าไป,ให้ขับรถไปทางซ้าย,Data420,2
เครื่องหมายนี้ หมายความอย่างไร,ทางข้างหน้าเป็นทางบังคับให้เดินรถทางเดียว ไปทางซ้ายเท่านั้น,ไปได้เฉพาะทางขวาเท่านั้น,ห้ามขับรถไปทางขวา,ให้ขับรถไปทางขวาเท่านั้น,Data421,1
เครื่องหมายนี้ หมายความอย่างไร,ให้เลี้ยวซ้าย,ให้เลี้ยวขวา,ให้ชิดขวา,ผู้ขับขี่ต้องขับรถผ่านไปทางด้านซ้ายของป้าย,Data422,4
เครื่องหมายนี้ คือเครื่องหมายอะไร,ห้ามไปทางซ้ายหรือทางขวา,ให้ชิดซ้ายหรือชิดขวา,ให้ชิดขวาอย่างเดียว,ให้ชิดซ้ายอย่างเดียว,Data423,2
เครื่องหมายนี้ คือเครื่องหมายอะไร,ห้ามเลี้ยวซ้าย,ห้ามเลี้ยวขวา,ให้เลี้ยวขวา,ให้เลี้ยวซ้าย,Data424,4
เครื่องหมายนี้ คือเครื่องหมายอะไร,ให้เลี้ยวซ้ายหรือเลี้ยวขวา,ห้ามเลี้ยวซ้ายหรือทางขวา,ห้ามตรงไปหรือเลี้ยวซ้าย,ห้ามตรงไปหรือเลี้ยวขวา,Data425,1
เครื่องหมายนี้ คือเครื่องหมายอะไร,ให้ตรงไปเเต่ห้ามเลี้ยวซ้าย,ห้ามตรงไปหรือเลี้ยวซ้าย,ให้ตรงไปหรือเลี้ยวซ้าย,ห้ามตรงไปหรือเลี้ยวขวา,Data426,3
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ให้รถยนต์ขับรถทางเดียวด้านซ้าย,ให้รถทุกชนิดเดินวนด้านขวาของวงเวียน,ให้ขับรถเเทรกหรือตัดหน้ารถคันอื่นในวงเวียนได้,ผู้ขับขี่รถทุกชนิดต้องขับรถวนทางซ้ายของวงเวียน เเละหยุดรอให้รถที่เเล่นอยู่ในทางรอบบริเวณวงเวียน ผ่านไปก่อน,Data427,4
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,รถมีคนนั่งไม่น้อยกว่า 3 คน สามารถใช้ช่องเดินรถนี้ได้,รถมีคนนั่ง 1 คนเข้าไปในช่องเดินรถนี้ได้,ห้ามรถมีคนเกิน 3 คน เข้าไปในช่องเดินรถนี้,รถมีคนนั่ง 2 คน เข้าไปในช่องเดินรถนี้ได้,Data428,1
เครื่องหมายนี้ คือเครื่องหมายอะไร,ช่องเดินรถจักรยานยนต์,ช่องเดินรถมวลชน,ช่องเดินรถจักรยาน,เฉพาะคนเดิน,Data429,1
เครื่องหมายนี้ คือเครื่องหมายอะไร,ให้เลี้ยวซ้าย,ห้ามเลี้ยวขวา,สุดเขตบังคับ,ให้ใช้ความเร็ว,Data430,3
