Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
การขับรถผ่านทางร่วมทางเเยกที่มีสัญญาณไฟ กระพริบสีเเดงผู้ขับขี่ต้องปฏิบัติอย่างไร ,หยุดรถหลังเส้นให้รถหยุดเมื่อเห็นว่าปลอดภัย เเละไม่เป็นการกีดขวางการจราจรจึงให้ขับรถต่อไป ด้วยความระมัดระวัง,ลดความเร็วของรถลงเเละผ่านทางเดินรถนั้นไป ด้วยความระมัดระวัง,จอดรถด้วยความระมัดระวัง,เพิ่มความเร็วของรถเเละผ่านทางเดินรถ นั้นไปโดยเร็ว,-,1
ผู้ขับขี่ต้องขับรถในทางเดินรถด้านซ้ายยกเว้น กรณีใดสามารถเดินรถทางขวาหรือล้ำกึ่งกลางของทางเดินรถได้,ไม่มีรถสวนทางมา,ทางเดินรถกว้างมาก,ด้านซ้ายของทางเดินรถมีสิ่งกีดขวาง,ทางเดินรถมีน้ำท่วมขัง,-,3
การขับรถผ่านทางร่วมทางเเยกที่มีสัญญาณไฟ กระพริบสีเหลืองผู้ขับขี่ต้องปฏิบัติอย่างไร,ลดความเร็วของรถลงเเละผ่านทางเดินรถนั้น ไปด้วยความระมัดระวัง,หยุดรถหลังเส้นให้รถหยุดเมื่อเห็นว่าปลอดภัยเเละ ไม่เป็นการกีดขวางการจราจรจึงขับรถต่อไปด้วย ความระมัดระวัง,จอดรถ,เพิ่มความเร็วของรถเเละผ่านทางเดินรถ นั้นไปโดยเร็ว,-,1
การให้สัญญาณด้วยเเขนโดยผู้ขับขี่ยื่นเเขนขวา ตรงออกไปนอกตัวรถเสมอระดับไหล่เเละ โบกมือขึ้นลงหลายครั้งหมายถึงผู้ขับขี่นั้น ต้องการอะไร ,หยุดรถ,เลี้ยวขวา,จะลดความเร็วของรถ,จอดรถ,Data217,3
ผู้ขับขี่ต้องขับรถให้ห่างจากคันหน้าเท่าไหร่,ในระยะที่จะสามารถหยุดรถได้โดยปลอดภัย เมื่อมีความจำเป็น,ไม่น้อยกว่า 2 เมตร,ไม่น้อยกว่า 1 เมตร,ไม่น้อยกว่า 3 เมตร,-,1
ผู้ขับขี่ต้องการจะเลี้ยวซ้ายต้องขับรถในช่องเดินรถด้านซ้าย ก่อนถึงทางเลี้ยวกี่เมตร,ไม่น้อยกว่า 15 เมตร,ไม่น้อยกว่า 20 เมตร,ไม่น้อยกว่า 25 เมตร,ไม่น้อยกว่า 30 เมตร ,-,4
ในการขับรถสวนทางกัน ผู้ขับขี่ต้องปฏิบัติอย่างไร ,เเซงเข้าไปในช่องเดินรถประจำทางได้,ให้ขับรถชิดด้านซ้าย,ในทางที่มีสิ่งกีดขวางอยู่ข้างหน้าไม่ต้องหยุดรอ ให้รถที่สวนมาผ่านไปได้,ในทางเเคบที่ไม่อาจสวนทางกันได้ผู้ขับรถคันที่เล็กกว่า ต้องหยุดชิดด้านซ้ายให้รถคันที่ใหญ่กว่าไปก่อน,-,2
ผู้ขับขี่ต้องดเปิดไฟหน้าหรือไฟท้ายรถให้รถคันอื่นเห็นได้ ในระยะไม่น้อยกว่าเท่าใด,150 เมตร ,100 เมตร ,60 เมตร ,120 เมตร,-,1
ห้ามมิให้ผู้ขับขี่รถเเซงเพื่อขึ้นหน้ารถคันอื่นขณะที่มี หมอก ฝุ่น ฝน หรือควัน จนไม่อาจเห็นทางข้างหน้าได้ในระยะเท่าใด,60 เมตร,90 เมตร,70 เมตร ,80 เมตร ,-,1
บริเวณใดห้ามขับรถเเซงรถคันอื่น,ทางโค้งรัศมีเเคบ,ในกรณีที่ทางเดินรถด้านซ้ายมีสิ่งกีดขวาง,150 เมตร จากทางร่วมทางเเยก,เเซงด้านซ้ายในขณะที่มีรถรอเลี้ยวขวา,-,1
บริเวณใดสามารถกลับรถได้,ทางเดินรถที่มีเครื่องหมายห้ามกลับรถ,บริเวณบนสะพาน,ระยะ 150 เมตร จากทางราบของเชิงสะพาน,เขตปลอดภัย,-,3
เมื่อผู้ขับขี่พบเครื่องหมาย ''เลี้ยวซ้ายผ่านตลอด'' ผู้ขับขี่ควรปฏิบัติอย่างไร ?,ลดความเร็วของรถลงเเละเลี้ยวซ้ายผ่านไปได้ทันที,หยุดรอจนกว่าจะได้รับสัญญาณไฟเขียวจึง เลี้ยวซ้ายไปได้,หยุดรอให้คนข้ามถนนเเละรถที่มาจากทาง ด้านขวามือขับผ่านไปก่อนเเล้วจึงเลี้ยวซ้ายผ่านไป,เลี้ยวซ้ายผ่านไปได้ทันที,-,3
ผู้ใดไม่มีหน้าที่ให้สัญญาณจราจรตามพระราชบัญญัติจราจรทางบก พ.ศ.2522,ผู้ขับขี่รถยนต์,พนักงานจราจร,ผู้ขับขี่รถจักรยานยนต์,คนเดินเท้า ,-,4
ผู้ขับขี่ปฏิบัติตามข้อใดไม่ถูกต้อง,ลดความเร็วเมื่อถึงวงเวียน,ลดความเร็วเมื่อถึงที่คับขัน,จอดรถบริเวณทางร่วมทางเเยก,ลดความเร็วเมื่อเห็นคนกำลังข้ามทาง,-,3
บริเวณใดเเซงได้,ทางร่วมทางเเยก,สะพานเดินรถทางเดียว,ทางโค้งรัศมีเเคบ,บนพื้นทางที่มีเครื่องหมายจราจรให้เเซงได้,-,4
เมื่อจะเปลี่ยนช่องทางหรือเเซงรถทุกครั้งต้องปฏิบัติอย่างไร,รีบเปลี่ยนช่องทางโดยเร็ว,ต้องให้สัญญาณไฟหรือสัญญาณเเตร,เเซงขึ้นหน้าเเล้วเหยียบเบรกทันที,รีบเร่งเครื่องเเซงโดยเร็ว,-,2
การขับรถตามข้อใดปฏิบัติได้ถูกต้อง,ขับรถลักษณะผิดปกติวิสัย,เเซงรถในอุโมงค์,ขับรถในลักษณะกีดขวางการจราจร,ขับรถเร็วไม่เกินอัตราที่กฎหมายกำหนด,-,4
