Question,Answer1,Answer2,Answer3,ล,Image,Answer
รถต่อไปนี้ได้รับยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นเเต่ ค่าธรรมเนียมเเผ่นป้ายทะเบียนรถ,รถบดถนนของเอกชน,รถบดถนนของรัฐวิสาหกิจ,รถเเทรกเตอร์ของเอกชน,รถเเทรกเตอร์ส่วนบุคคล,-,2
รถต่อไปนี้ได้รับยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นเเต่ ค่าธรรมเนียมเเผ่นป้ายทะเบียนรถ,รถของสภากาชาดไทย,รถของมูลนิธิร่วมกตัญญู,รถของวัด,รถของมูลนิธิสายใจไทย,-,1
รถต่อไปนี้ได้รับยกเว้นไม่ต้องเสียค่าธรรมเนียมเว้นเเต่ ค่าธรรมเนียมเเผ่นป้ายทะเบียนรถ,รถดับเพลิงของ อบต.,รถตู้ส่วนบุคคล,รถตู้รับจ้าง,รถจักรยานยนต์ส่วนบุคคล,-,1
รถที่จดทะเบียนเเล้วหากประสงค์จะเปลี่ยนสีรถต้องดำเนินการอย่างไร,ดำเนินการเปลี่ยนสีได้ทันที,เเจ้งนายทะเบียนภายใน 15 วัน,เเจ้งนายทะเบียนภายใน 30 วัน,เเจ้งนายทะเบียนภายใน 7 วัน,-,4
หากประสงค์จะย้ายรถเจ้าของรถต้องเเจ้งย้าย รถต่อนายทะเบียนภายในกี่วัน,30 วัน ,7 วัน, 15 วัน, 60 วัน,-,3
รถยนต์ไว้เพื่อขายหรือเพื่อซ่อม (ป้ายเเดง) ตามกฎหมาย ว่าด้วยรถยนต์ขับได้ในช่วงเวลาใด,ขับได้ตั้งเเต่เวลา 08:00 น. ถึง 16:00 น.,ขับได้ตลอดเวลา,ห้ามขับเฉพาะยังไม่ได้เสียภาษี,ขับได้ระหว่างพระอาทิตย์ขึ้นจนถึงพระอาทิตย์ตก,-,4
รถยนต์ที่ค้างชำระภาษีประจำปีติดต่อกันครบสามปี จะมีผลตามกฎหมายอย่างใด,ทะเบียนระงับ,สามารถนำรถไปตรวจสภาพเเละต่อภาษีประจำปีได้,สามารถกระทำได้ตามข้อ 1 เเละ 2,สามารถนำรถไปเเจ้งไม่ใช้ตลอดไปเเละจดทะเบียนใหม่ได้,-,1
ข้อใดถูกต้อง,รถยนต์อายุการใช้งานครบ 5 ปี ประสงค์จะต่อภาษีประจำปีต้องนำรถ ไปตรวจที่สถานตรวจสภาพเอกชน,รถยนต์อายุการใช้งานครบ 7 ปี ประสงค์จะต่อภาษีประจำปีต้องนำรถ ไปตรวจที่สถานตรวจสภาพเอกชน,รถจักรยานยนต์อายุการใช้งานครบ 7 ปี ประสงค์จะต่อภาษีประจำปีต้องนำรถ ไปตรวจที่สถานตรวจสภาพเอกชน,รถยนต์อายุการใช้งานครบ 10 ปี ประสงค์จะต่อภาษีประจำปีต้องนำรถ ไปตรวจที่สถานตรวจสภาพเอกชน,-,2
ข้อใดถูกต้อง,รถจักรยานยนต์อายุการใช้งานครบ 5 ปี ประสงค์จะต่อภาษีประจำปีต้องนำรถ ไปตรวจที่สถานตรวจสภาพเอกชน,รถยนต์อายุการใช้งานครบ 5 ปี ประสงค์จะต่อภาษีประจำปีต้องนำรถ ไปตรวจที่สถานตรวจสภาพเอกชน,รถจักรยานยนต์อายุการใช้งานครบ 7 ปี ประสงค์จะต่อภาษีประจำปีต้องนำรถ ไปตรวจที่สถานตรวจสภาพเอกชน,รถยนต์อายุการใช้งานครบ 10 ปี ประสงค์จะต่อภาษีประจำปีต้องนำรถ ไปตรวจที่สถานตรวจสภาพเอกชน,-,1
ข้อใดถูกต้องขณะขับรถ,ผู้ขับรถต้องมีสำเนาใบอนุญาตขับรถ เเละใบคู่มือจดทะเบียนรถ,ผู้ขับรถต้องมีใบอนุญาตขับรถ เเละสำเนาภาพถ่ายใบคู่มือทะเบียนรถ,ผู้ขับรถต้องมีใบอนุญาตขับรถ เเละใบเกิด,ผู้ขับรถต้องมีสำเนาใบอนุญาตขับรถ เเละสำเนาใบคู่มือจดทะเบียนรถ,-,2
นาย ก. เกิดที่จังหวัดเชียงใหม่ ประสงค์ขอรับใบอนุญาต ขับรถยนต์ส่วนบุคคลชั่วคราวจะต้องไปดำเนินการที่ใด,สำนักงานขนส่งจังหวัด เเละสำนักงานขนส่งจังหวัดสาขาทุกเเห่ง,สำนักงานขนส่งจังหวัดเชียงใหม่ ยกเว้นกทม,สำนักงานขนส่งจังหวัดอุบลราชธานี,ผิดทุกข้อ,-,1
ผู้ขอรับใบอนุญาตขับรถยนต์ชั่วคราวต้องมีอายุกี่ปี,ไม่ต่ำกว่า 15 ปี บริบูรณ์,ไม่ต่ำกว่า 16 ปี บริบูรณ์,ไม่ต่ำกว่า 17 ปี บริบูรณ์,ไม่ต่ำกว่า 18 ปี บริบูรณ์,-,4
กรณีถูกเพิกถอน ใบอนุญาตขับรถ มีสิทธิอุทธรณ์ได้ภายในกี่วัน,45 วัน,30 วัน,15 วัน ,60 วัน,-,3
ใบอนุญาตขับรถสูญหายต้องเเจ้งนายทะเบียน ภายในกี่วันนับเเต่วันทราบเหตุนั้น,15 วัน,30 วัน,60 วัน,90 วัน,-,1
ผู้ขับรถสาธารณะต้องปฏิบัติตนอย่างไร,ไม่เสพสุราของมึนเมา ไม่เสพยาเสพติดให้โทษ,ไม่เสพวัตถุออกฤทธิ์ต่อจิตประสาท,ไม่ขับรถในขณะหย่อนความสามาถ,ถูกทุกข้อ,-,4
ผู้ใดขับรถโดยใบอนุญาตขับรถสิ้นอายุมีโทษอย่างไร,จำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1000 บาท หรือทั้งจำทั้งปรับ,ปรับไม่เกิน 1000 บาท,จำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 1000 บาท หรือทั้งจำทั้งปรับ ,ปรับไม่เกิน 2000 บาท,-,4
เมื่อรถทะเบียนระงับ หากประสงค์จะจดทะเบียนรถใหม่ ต้องนำรถไปตรวจสภาพรถที่ใด,สำนักงานขนส่งจังหวัดในภูมิลำเนาที่ ประสงค์จดทะเบียนรถ,สถานตรวจสภาพเอกชนในภูมิลำเนาที่ ประสงค์จดทะเบียนรถ,สำนักงานขนส่งจังหวัดหรือสาขาในภูมิลำเนา ที่ประสงค์จดทะเบียนรถ,ไม่สามารถจดทะเบียนรถได้เนื่องจากทะเบียนระงับเเล้ว,-,1
