Question,Answer1,Answer2,Answer3,Answer4,Image,Answer
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงเเละระมัดระวังอันตรายจากรถที่สวนมา จากอีกฝั่งหนึ่งของสะพาน,ขับรถให้ช้าลงระมัดระวังทางข้างหน้ามีทางเเคบลง,ขับรถอย่างรวดเร็วเเละระมัดระวังทางข้างหน้ามีช่อง การจราจรลดลง,ขับรถให้ช้าลงเเละระมัดระวังทางข้างหน้ามี ทางเเคบด้านซ้าย,Data511,1
เครื่องหมายนี้  หมายความว่าอย่างไร,ช่องจราจรปิดด้านซ้าย,ช่องจราจรปิดด้านขวา,ช่องจราจรปิดทั้งสองด้าน,ช่องจราจรลดลงด้านซ้าย,Data512,1
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถด้วยความเร็วปกติเเต่ให้ระวังรถไฟกำลังผ่าน,ขับรถให้ช้าลงเเละสังเกตดูรถไฟทั้งทางขวาเเละทางซ้าย ถ้ามีรถไฟกำลังจะผ่านควรหยุดรถห่าง จากทางรถไฟ อย่างน้อย 5 เมตร,ขับรถอย่างรวดเร็วเพราะมีรถไฟกำลังผ่าน,ขับรถได้อย่างรวดเร็วเพราะไม่มีสิ่งกีดขวาง,Data513,2
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงพร้อมที่จะหยุดรถทางข้างหน้า ไม่มีเครื่องกั้น,ขับรถให้ช้าลงพร้อมที่จะหยุดรถ สะพานเเคบ,ขับรถเร็วได้ไม่ต้องหยุดรถทางข้ามทางรถ ไฟไม่มีเครื่องกั้น,ขับรถให้ช้าลงเเละพร้อมที่จะหยุดรถ,Data514,4
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวัง ทางเเคบลงไม่เกิน 2.50 เมตร,ขับรถให้ช้าลงเพิ่มความระมัดระวัง ทางกว้างเกิน 2.50 เมตร,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวัง ทางสูงเกิน 2.50 เมตร,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวังรถที่มีความสูง ไม่เกิน 2.50 เมตรให้ผ่านไปได้,Data515,4
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงเพิ่มความระมัดระวังทางข้างหน้า ขรุขระมาก เป็นหลุม เป็นบ่อ,ขับรถให้ช้าลงเพิ่มความระมัดระวัง ระวังหินร่วง,ขับรถให้ช้าลงเพิ่มความระมัดระวัง ผิวทางร่วน,ขับรถให้ช้าลงเพิ่มความระมัดระวัง ทางลื่น,Data516,1
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวัง ทางข้างหน้าเป็นเเอ่ง,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวัง เตือนรถกระโดด,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวัง ทางลงลาดชัน,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวัง ทางขึ้นลาดชัน,Data517,1
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงให้มากเเละระมัดระวังเป็นพิเศษ ผิวทางร่วน,ขับรถให้ช้าลงให้มากเเละระมัดระวังเป็นพิเศษ ทางเเคบด้านขวา,ขับรถให้้ช้าลงเเละระมัดระวังการลื่นไถลทางข้างหน้า ลื่นอาจะเกิดอุบัติเหตุได้ง่าย,ขับรถให้ช้าลงให้มากเเละระมัดระวังเป็นพิเศษ ทางข้างหน้าเป็นทางโค้ง,Data518,3
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงเเละระมัดระวังอันตรายทางข้างหน้าอาจ จะมีวัสดุผิวทางหลุดกระเด็น,ขับรถให้ช้าลงเเละระมัดระวังหินร่วง,ขับรถให้ช้าลงเเละระมัดระวัง ทางลื่น,ขับรถให้ช้าลงเเละระมัดระวัง ทางคดเคี้ยว,Data519,1
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวังทางข้างหน้าอาจ มีหินร่วงลงมาในผิวทางทำให้กีดขวางการจราจร,ขับรถให้ช้าลงเพิ่มความระมัดระวังเป็นพิเศษ ทางขึ้นลาดชัน,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวังเป็นพิเศษ ทางลงลาดชัน,ขับรถให้ช้าลงเเละเพิ่มความระมัดระวังเป็นพิเศษ ทางเเคบ,Data520,1
เครื่องหมายนี้  หมายความว่าอย่างไร,ไม่ออกทางขนาน,เปลี่ยนช่องเดินรถตามสัญลักษณ์ในป้าย,ไม่เปลี่ยนช่องทางจราจร,ให้ออกทางขนาน,Data521,2
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถชิดไปด้านซ้ายด้วยความระมัดระวัง ทางเเคบด้านซ้าย,ขับรถชิดไปด้านซ้ายด้วยความระมัดระวัง ทางเเคบด้านขวา,ขับรถชิดไปด้านซ้ายด้วยความระมัดระวัง ทางลงลาดชัน,ขับรถชิดไปด้านซ้ายด้วยความระมัดระวัง,Data522,4
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ทางข้างหน้าห้ามกลับรถ,ทางข้างหน้าจะมีทางโค้งซ้าย,ทางข้างหน้ามีที่กลับรถด้านขวา,ทางข้างหน้าจะมีที่สิ้นสุดทางคู่,Data523,3
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงเดินรถใกล้ขอบทางด้านซ้ายเเละระมัดระวัง อันตรายจากรถที่สวนมา,ขับรถให้ช้าลงเเละห้ชิดซ้ายทางข้างหน้ามีทางเดิน รถทางเดียว,ขับรถให้ช้าลงเเละให้ชิดซ้ายทางข้างหน้ามีทางเดิน รถทางเดียวด้านซ้าย,ขับรถให้ช้าลงเเละให้ชิดซ้ายทางข้างหน้้ามีทางเดิน รถทางเดียวด้านซ้าย,Data524,1
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงเเละพร้อมที่จะปฏิบัติตาม สัญญาณไฟจราจร,ขับรถให้ช้าลงเเละพร้อมที่จะเข้าทางเดินรถสองทาง,ขับรถให้ช้าลงเเละพร้อมที่จะกลับรถในทางข้างหน้า,ขับรถให้ช้าลงเเละพร้อมที่จะเข้าทางเดิน ทางดียวไปข้างหน้า,Data525,1
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ให้ผู้ขับรถเตรียมพร้อมที่จะเลี้ยวซ้ายได้,ขับรถให้ช้าลงระมัดระวังคนข้ามทางเพราะทางข้างหน้า มีทางสำหรับคนข้ามซึ่งมีคนเดินข้ามไปมาอยู่เสมอ,ให้ผู้ขับรถเตรียมพร้อมที่จะจอดรถได้,ให้ผู้ขับรถเตรียมพร้อมที่จะให้ทาง,Data526,2
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงเพราะทางข้างหน้ามีคนกำลังทำงาน,ขับรถให้้ช้าลงระมัดระวังคนข้ามทางเพราะทางข้างหน้า มีชุมชนซึ่งมีคนเดินข้ามไปมาอยู่เสมอ,ขับรถให้ช้าลงเพราะทางข้างหน้ามีเขต โรงเรียนเด็กเยอะ,ขับรถให้ช้าลงเพราะทางข้างหน้า ให้ระวังเด็กนักเรียน,Data527,2
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถให้ช้าลงระวังโดนขโมยของ,ขับรถให้ช้าลงระวังอันตราย,ขับรถให้ช้าลงระวังเด็กนักเรียนถ้าเป็นเวลาที่โรงเรียน กำลังสอนควรงดใช้เสียงสัญญาณ,ขับรถให้ช้าลงระวังคนข้ามถนน,Data528,3
เมื่อพบเครื่องหมายนี้ ผู้ขับขี่ต้องปฏิบัติอย่างไร,ขับรถช้าลงเเละระมัดระวังคนข้ามถนน,ขับรถช้าลงเเละเพิ่มความระมัดระวังทางข้างหน้าอาจจะ มีสัตว์ข้ามทาง,ขับรถช้าลงเเละระวังเด็กนักเรียน,ขับรถช้าลงเเละระวังอันตราย,Data529,2
เครื่องหมายนี้ คือเครื่องหมายอะไร,สลับกันไป,ทางโค้งกลับเริ่มซ้าย,ทางโค้งกลับเริ่มขวา,ทางโค้งซ้าย,Data530,1
